date,tournament,level,bestOf,surface,indoor,round,winner_name,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,winner_seed,speed,loser_entry,winner_entry,outcome
2007-03-05,Indian Wells Masters,M,3,H,false,R64,Rafael Nadal,Spain,ESP,2,2,2270,Arnaud Clement,,France,FRA,53,-2,1941,6-3 7-6(3),2,59,,,
2007-02-26,Dubai,A,3,H,false,QF,Mikhail Youzhny,Russian Federation,RUS,18,14,2098,Rafael Nadal,2,Spain,ESP,2,-14,2284,7-6(5) 6-3,,65,,,
2007-02-26,Dubai,A,3,H,false,R16,Rafael Nadal,Spain,ESP,2,3,2281,Igor Andreev,,Russian Federation,RUS,139,-2,1957,6-2 3-6 7-6(2),2,65,,,
2007-02-26,Dubai,A,3,H,false,R32,Rafael Nadal,Spain,ESP,2,3,2278,Marcos Baghdatis,,Cyprus,CYP,17,-4,2050,3-6 6-2 6-3,2,65,,,
2007-01-15,Australian Open,G,5,H,false,QF,Fernando Gonzalez,Chile,CHI,9,18,2185,Rafael Nadal,2,Spain,ESP,2,-17,2295,6-2 6-4 6-3,10,55,,,
2007-01-15,Australian Open,G,5,H,false,R16,Rafael Nadal,Spain,ESP,2,5,2290,Andy Murray,15,United Kingdom,GBR,16,-5,2073,6-7(3) 6-4 4-6 6-3 6-1,2,55,,,
2007-01-15,Australian Open,G,5,H,false,R32,Rafael Nadal,Spain,ESP,2,4,2286,Stan Wawrinka,31,Switzerland,SUI,40,-4,1997,6-2 6-2 6-2,2,55,,,
2007-01-15,Australian Open,G,5,H,false,R64,Rafael Nadal,Spain,ESP,2,3,2283,Philipp Kohlschreiber,,Germany,GER,61,-3,1897,7-5 6-3 4-6 6-2,2,55,,,
2007-01-15,Australian Open,G,5,H,false,R128,Rafael Nadal,Spain,ESP,2,1,2282,Robert Kendrick,,United States,USA,90,-2,1778,7-6(6) 6-3 6-2,2,55,,,
2007-01-08,Sydney,B,3,H,false,R32,Chris Guccione,Australia,AUS,107,19,1873,Rafael Nadal,1,Spain,ESP,2,-15,2297,6-5 RET,,41,,WC,RET
2007-01-01,Chennai,B,3,H,false,SF,Xavier Malisse,Belgium,BEL,37,17,1980,Rafael Nadal,1,Spain,ESP,2,-16,2313,6-4 7-6(4),3,51,,,
2007-01-01,Chennai,B,3,H,false,QF,Rafael Nadal,Spain,ESP,2,1,2312,Davide Sanguinetti,,Italy,ITA,106,-2,1816,6-3 6-2,1,51,,,
2007-01-01,Chennai,B,3,H,false,R16,Rafael Nadal,Spain,ESP,2,1,2311,Karan Rastogi,,India,IND,480,-1,1627,6-4 6-1,1,51,WC,,
2007-01-01,Chennai,B,3,H,false,R32,Rafael Nadal,Spain,ESP,2,,2311,Rainer Schuettler,,Germany,GER,96,-2,1780,6-4 6-2,1,51,,,
2006-11-13,Masters Cup,F,3,H,true,SF,Roger Federer,Switzerland,SUI,1,5,2524,Rafael Nadal,,Spain,ESP,2,-5,2316,6-4 7-5,,73,,,
2006-11-13,Masters Cup,F,3,H,true,RR,Rafael Nadal,Spain,ESP,2,4,2312,Tommy Robredo,,Spain,ESP,6,-4,2057,7-6(2) 6-2,,73,,,
2006-11-13,Masters Cup,F,3,H,true,RR,James Blake,United States,USA,8,17,2136,Rafael Nadal,,Spain,ESP,2,-17,2329,6-4 7-6(0),,73,,,
2006-11-13,Masters Cup,F,3,H,true,RR,Rafael Nadal,Spain,ESP,2,6,2323,Nikolay Davydenko,,Russian Federation,RUS,3,-6,2141,5-7 6-4 6-4,,73,,,
2006-10-16,Madrid Masters,M,3,H,true,QF,Tomas Berdych,Czech Republic,CZE,11,17,2102,Rafael Nadal,2,Spain,ESP,2,-17,2340,6-3 7-6(6),11,78,,,
2006-10-16,Madrid Masters,M,3,H,true,R16,Rafael Nadal,Spain,ESP,2,4,2336,Tommy Haas,13,Germany,GER,13,-4,2066,6-4 6-3,2,78,,,
2006-10-16,Madrid Masters,M,3,H,true,R32,Rafael Nadal,Spain,ESP,2,1,2335,Mardy Fish,,United States,USA,54,-2,1938,6-4 6-2,2,78,Q,,
2006-10-09,Stockholm,B,3,H,true,R16,Joachim Johansson,Sweden,SWE,690,17,1927,Rafael Nadal,1,Spain,ESP,2,-14,2349,6-4 7-6(4),,65,,WC,
2006-10-09,Stockholm,B,3,H,true,R32,Rafael Nadal,Spain,ESP,2,,2349,Raemon Sluiter,,Netherlands,NED,90,-1,1750,6-4 6-2,1,65,,,
2006-09-22,Davis Cup WG,D,5,C,false,RR,Rafael Nadal,Spain,ESP,2,1,2348,Filippo Volandri,,Italy,ITA,38,-2,1911,3-6 7-5 6-3 6-3,,,,,
2006-09-22,Davis Cup WG,D,5,C,false,RR,Rafael Nadal,Spain,ESP,2,1,2347,Andreas Seppi,,Italy,ITA,69,-1,1820,6-0 6-4 6-3,,,,,
2006-08-28,US Open,G,5,H,false,QF,Mikhail Youzhny,Russian Federation,RUS,54,26,1997,Rafael Nadal,2,Spain,ESP,2,-24,2371,6-3 5-7 7-6(5) 6-1,,61,,,
2006-08-28,US Open,G,5,H,false,R16,Rafael Nadal,Spain,ESP,2,2,2369,Jiri Novak,,Czech Republic,CZE,179,-2,1927,6-1 7-6(3) 6-4,2,61,,,
2006-08-28,US Open,G,5,H,false,R32,Rafael Nadal,Spain,ESP,2,1,2368,Wesley Moodie,,South Africa,RSA,82,-2,1874,6-4 7-6(5) 7-6(4),2,61,,,
2006-08-28,US Open,G,5,H,false,R64,Rafael Nadal,Spain,ESP,2,2,2366,Luis Horna,,Peru,PER,61,-2,1867,6-4 4-6 6-4 6-2,2,61,,,
2006-08-28,US Open,G,5,H,false,R128,Rafael Nadal,Spain,ESP,2,1,2365,Mark Philippoussis,,Australia,AUS,113,-3,1938,6-4 6-4 6-4,2,61,WC,,
2006-08-14,Cincinnati Masters,M,3,H,false,QF,Juan Carlos Ferrero,Spain,ESP,31,20,2005,Rafael Nadal,2,Spain,ESP,2,-18,2383,7-6(2) 7-6(3),,69,,,
2006-08-14,Cincinnati Masters,M,3,H,false,R16,Rafael Nadal,Spain,ESP,2,3,2380,Tommy Haas,14,Germany,GER,17,-3,2078,7-6(5) 6-3,2,69,,,
2006-08-14,Cincinnati Masters,M,3,H,false,R32,Rafael Nadal,Spain,ESP,2,1,2379,Hyung Taik Lee,,"Korea, Republic of",KOR,73,-2,1923,6-4 6-3,2,69,Q,,
2006-08-14,Cincinnati Masters,M,3,H,false,R64,Rafael Nadal,Spain,ESP,2,,2379,Sam Querrey,,United States,USA,178,-1,1707,6-7(5) 6-2 6-3,2,69,WC,,
2006-08-07,Canada Masters,M,3,H,false,R16,Tomas Berdych,Czech Republic,CZE,14,18,2087,Rafael Nadal,2,Spain,ESP,2,-16,2395,6-1 3-6 6-2,13,45,,,
2006-08-07,Canada Masters,M,3,H,false,R32,Rafael Nadal,Spain,ESP,2,1,2394,Hyung Taik Lee,,"Korea, Republic of",KOR,85,-1,1911,6-4 6-3,2,45,Q,,
2006-08-07,Canada Masters,M,3,H,false,R64,Rafael Nadal,Spain,ESP,2,1,2393,Nicolas Massu,,Chile,CHI,38,-2,1971,6-3 6-2,2,45,,,
2006-06-26,Wimbledon,G,5,G,false,F,Roger Federer,Switzerland,SUI,1,13,2483,Rafael Nadal,2,Spain,ESP,2,-12,2405,6-0 7-6(5) 6-7(2) 6-3,1,75,,,
2006-06-26,Wimbledon,G,5,G,false,SF,Rafael Nadal,Spain,ESP,2,3,2402,Marcos Baghdatis,18,Cyprus,CYP,16,-3,2040,6-1 7-5 6-3,2,75,,,
2006-06-26,Wimbledon,G,5,G,false,QF,Rafael Nadal,Spain,ESP,2,3,2399,Jarkko Nieminen,22,Finland,FIN,18,-3,2026,6-3 6-4 6-4,2,75,,,
2006-06-26,Wimbledon,G,5,G,false,R16,Rafael Nadal,Spain,ESP,2,1,2398,Irakli Labadze,,Georgia,GEO,166,-2,1848,6-3 7-6(4) 6-3,2,75,Q,,
2006-06-26,Wimbledon,G,5,G,false,R32,Rafael Nadal,Spain,ESP,2,5,2393,Andre Agassi,25,United States,USA,20,-6,2171,7-6(5) 6-2 6-4,2,75,,,
2006-06-26,Wimbledon,G,5,G,false,R64,Rafael Nadal,Spain,ESP,2,1,2392,Robert Kendrick,,United States,USA,237,-1,1787,6-7(4) 3-6 7-6(2) 7-5 6-4,2,75,Q,,
2006-06-26,Wimbledon,G,5,G,false,R128,Rafael Nadal,Spain,ESP,2,,2392,Alex Bogdanovic,,United Kingdom,GBR,135,-1,1611,6-4 7-6(3) 6-4,2,75,WC,,
2006-06-12,Queen's Club,B,3,G,false,QF,Lleyton Hewitt,Australia,AUS,13,14,2170,Rafael Nadal,1,Spain,ESP,2,-13,2405,3-6 6-3 RET,8,76,,,RET
2006-06-12,Queen's Club,B,3,G,false,R16,Rafael Nadal,Spain,ESP,2,1,2404,Fernando Verdasco,,Spain,ESP,30,-2,1974,2-6 7-6(3) 7-6(3),1,76,Q,,
2006-06-12,Queen's Club,B,3,G,false,R32,Rafael Nadal,Spain,ESP,2,1,2403,Mardy Fish,,United States,USA,86,-1,1946,7-6(1) 6-1,1,76,WC,,
2006-05-29,Roland Garros,G,5,C,false,F,Rafael Nadal,Spain,ESP,2,21,2382,Roger Federer,1,Switzerland,SUI,1,-21,2487,1-6 6-1 6-4 7-6(4),2,34,,,
2006-05-29,Roland Garros,G,5,C,false,SF,Rafael Nadal,Spain,ESP,2,7,2375,Ivan Ljubicic,4,Croatia,CRO,4,-8,2196,6-4 6-2 7-6(7),2,34,,,
2006-05-29,Roland Garros,G,5,C,false,QF,Rafael Nadal,Spain,ESP,2,3,2372,Novak Djokovic,,Serbia,SRB,63,-3,1974,6-4 6-4 RET,2,34,,,RET
2006-05-29,Roland Garros,G,5,C,false,R16,Rafael Nadal,Spain,ESP,2,6,2366,Lleyton Hewitt,14,Australia,AUS,14,-7,2172,6-2 5-7 6-4 6-2,2,34,,,
2006-05-29,Roland Garros,G,5,C,false,R32,Rafael Nadal,Spain,ESP,2,3,2363,Paul Henri Mathieu,29,France,FRA,32,-2,1983,5-7 6-4 6-4 6-4,2,34,,,
2006-05-29,Roland Garros,G,5,C,false,R64,Rafael Nadal,Spain,ESP,2,,2363,Kevin Kim,,United States,USA,116,-1,1785,6-2 6-1 6-4,2,34,LL,,
2006-05-29,Roland Garros,G,5,C,false,R128,Rafael Nadal,Spain,ESP,2,3,2360,Robin Soderling,,Sweden,SWE,50,-2,1977,6-2 7-5 6-1,2,34,,,
2006-05-08,Rome Masters,M,5,C,false,F,Rafael Nadal,Spain,ESP,2,19,2341,Roger Federer,1,Switzerland,SUI,1,-19,2495,6-7(0) 7-6(5) 6-4 2-6 7-6(5),2,19,,,
2006-05-08,Rome Masters,M,3,C,false,SF,Rafael Nadal,Spain,ESP,2,2,2339,Gael Monfils,,France,FRA,35,-3,1955,6-2 6-2,2,19,,,
2006-05-08,Rome Masters,M,3,C,false,QF,Rafael Nadal,Spain,ESP,2,5,2334,Fernando Gonzalez,10,Chile,CHI,9,-4,2098,6-4 6-3,2,19,,,
2006-05-08,Rome Masters,M,3,C,false,R16,Rafael Nadal,Spain,ESP,2,2,2332,Tim Henman,,United Kingdom,GBR,70,-3,2013,6-2 6-2,2,19,,,
2006-05-08,Rome Masters,M,3,C,false,R32,Rafael Nadal,Spain,ESP,2,2,2330,Filippo Volandri,,Italy,ITA,46,-2,1886,6-1 6-2,2,19,,,
2006-05-08,Rome Masters,M,3,C,false,R64,Rafael Nadal,Spain,ESP,2,2,2328,Carlos Moya,,Spain,ESP,33,-3,2024,6-1 2-6 6-2,2,19,,,
2006-04-24,Barcelona,A,5,C,false,F,Rafael Nadal,Spain,ESP,2,4,2324,Tommy Robredo,6,Spain,ESP,15,-4,2033,6-4 6-4 6-0,1,35,,,
2006-04-24,Barcelona,A,3,C,false,SF,Rafael Nadal,Spain,ESP,2,2,2322,Nicolas Almagro,,Spain,ESP,57,-2,1941,7-6(2) 6-3,1,35,,,
2006-04-24,Barcelona,A,3,C,false,QF,Rafael Nadal,Spain,ESP,2,3,2319,Jarkko Nieminen,7,Finland,FIN,20,-3,2026,4-6 6-4 6-3,1,35,,,
2006-04-24,Barcelona,A,3,C,false,R16,Rafael Nadal,Spain,ESP,2,1,2318,Ivan Navarro,,Spain,ESP,164,-1,1781,6-4 6-2,1,35,Q,,
2006-04-24,Barcelona,A,3,C,false,R32,Rafael Nadal,Spain,ESP,2,1,2317,Feliciano Lopez,,Spain,ESP,38,-2,1901,6-4 6-2,1,35,,,
2006-04-17,Monte Carlo Masters,M,5,C,false,F,Rafael Nadal,Spain,ESP,2,21,2296,Roger Federer,1,Switzerland,SUI,1,-21,2509,6-2 6-7(2) 6-3 7-6(5),2,15,,,
2006-04-17,Monte Carlo Masters,M,3,C,false,SF,Rafael Nadal,Spain,ESP,2,5,2291,Gaston Gaudio,7,Argentina,ARG,8,-4,2046,5-7 6-1 6-1,2,15,,,
2006-04-17,Monte Carlo Masters,M,3,C,false,QF,Rafael Nadal,Spain,ESP,2,4,2287,Guillermo Coria,6,Argentina,ARG,9,-4,2052,6-2 6-1,2,15,,,
2006-04-17,Monte Carlo Masters,M,3,C,false,R16,Rafael Nadal,Spain,ESP,2,2,2285,Kristof Vliegen,,Belgium,BEL,57,-3,1946,6-3 6-3,2,15,,,
2006-04-17,Monte Carlo Masters,M,3,C,false,R32,Rafael Nadal,Spain,ESP,2,1,2284,Jean Rene Lisnard,,Monaco,MON,154,-2,1753,6-4 6-1,2,15,WC,,
2006-04-17,Monte Carlo Masters,M,3,C,false,R64,Rafael Nadal,Spain,ESP,2,3,2281,Arnaud Clement,,France,FRA,56,-2,1941,6-4 6-4,2,15,,,
2006-03-20,Miami Masters,M,3,H,false,R64,Carlos Moya,Spain,ESP,35,15,2045,Rafael Nadal,2,Spain,ESP,2,-15,2296,2-6 6-1 6-1,,47,,,
2006-03-06,Indian Wells Masters,M,3,H,false,SF,James Blake,United States,USA,14,17,2108,Rafael Nadal,2,Spain,ESP,2,-17,2313,7-5 6-3,12,43,,,
2006-03-06,Indian Wells Masters,M,3,H,false,QF,Rafael Nadal,Spain,ESP,2,3,2310,Marcos Baghdatis,25,Cyprus,CYP,27,-4,2014,7-5 6-0,2,43,,,
2006-03-06,Indian Wells Masters,M,3,H,false,R16,Rafael Nadal,Spain,ESP,2,4,2306,Sebastien Grosjean,20,France,FRA,22,-4,2063,6-4 6-2,2,43,,,
2006-03-06,Indian Wells Masters,M,3,H,false,R32,Rafael Nadal,Spain,ESP,2,2,2304,Mardy Fish,,United States,USA,294,-2,1893,6-1 6-4,2,43,WC,,
2006-03-06,Indian Wells Masters,M,3,H,false,R64,Rafael Nadal,Spain,ESP,2,1,2303,Jan Hernych,,Czech Republic,CZE,87,-2,1844,6-4 6-4,2,43,,,
